3.073949515819549561e-01,2.217561900615692139e-01,-1.249004900455474854e-01,-2.130937427282333374e-01,-2.503544390201568604e-01,-4.311654269695281982e-01,-1.700870990753173828e-01,2.152615338563919067e-01,-1.503672599792480469e-01,1.435699760913848877e-01,-3.995803892612457275e-01,-2.579086832702159882e-02,-1.185076013207435608e-01,-5.314532518386840820e-01,1.381978690624237061e-01,2.749741375446319580e-01
2.398244291543960571e-02,6.091569066047668457e-01,-2.015852034091949463e-01,2.471710145473480225e-01,-2.520686686038970947e-01,-3.493035212159156799e-02,3.169673979282379150e-01,-5.233758687973022461e-01,-3.314315807074308395e-03,-6.175255775451660156e-01,-3.677417039871215820e-01,-2.515705525875091553e-01,1.685903966426849365e-01,1.965280771255493164e-01,3.060447275638580322e-01,1.934746056795120239e-01
2.332875877618789673e-01,-3.941918909549713135e-01,1.942648738622665405e-01,4.224778115749359131e-01,-3.876924514770507812e-01,-3.493041992187500000e-01,9.408570080995559692e-02,-3.632584214210510254e-02,1.478925049304962158e-01,6.190181151032447815e-02,-4.332162737846374512e-01,3.297568261623382568e-01,2.702204585075378418e-01,5.546513944864273071e-02,-5.535055994987487793e-01,-1.172418296337127686e-01
7.219998538494110107e-02,-8.056338131427764893e-02,-3.396296501159667969e-01,5.573686212301254272e-02,4.601423144340515137e-01,5.547648668289184570e-02,1.236899420619010925e-01,-1.482532173395156860e-01,3.526335656642913818e-01,-4.328488931059837341e-02,-4.111075997352600098e-01,1.828755736351013184e-01,-7.369019836187362671e-02,1.457455661147832870e-02,-1.717055886983871460e-01,-4.150252640247344971e-01
-4.129237029701471329e-03,-5.333127975463867188e-01,-3.942604064941406250e-01,-4.427925646305084229e-01,1.329274289309978485e-02,1.021528095006942749e-01,-2.923257350921630859e-01,-4.787584394216537476e-02,1.703837327659130096e-02,2.814487814903259277e-01,3.020611107349395752e-01,-2.860420644283294678e-01,6.912390142679214478e-02,4.090798199176788330e-01,4.153574258089065552e-02,2.605412304401397705e-01
-8.976917713880538940e-02,3.855577111244201660e-01,-4.169020056724548340e-01,5.101339146494865417e-02,4.771797358989715576e-02,3.225815594196319580e-01,-3.590653091669082642e-02,-1.774428635835647583e-01,1.008447855710983276e-01,-1.896004676818847656e-01,1.764845699071884155e-01,3.695191442966461182e-01,-4.664438366889953613e-01,-1.939154565334320068e-01,5.486017093062400818e-02,-6.925350427627563477e-01
1.463264878839254379e-02,3.793477416038513184e-01,-2.228907048702239990e-01,1.697435230016708374e-01,-1.400930136442184448e-01,-7.930028438568115234e-01,1.110562086105346680e-01,-1.418561786413192749e-01,-5.147894024848937988e-01,2.998834550380706787e-01,2.082510441541671753e-01,-3.806992620229721069e-02,-4.736530482769012451e-01,1.294171065092086792e-01,6.721174716949462891e-02,-1.384337097406387329e-01
1.721545159816741943e-01,5.546352476812899113e-04,4.331673979759216309e-01,4.035574197769165039e-01,2.203328311443328857e-01,3.641233444213867188e-01,-3.539128005504608154e-01,-1.726053804159164429e-01,-3.696735799312591553e-01,-2.030001282691955566e-01,-1.269721984863281250e-01,-2.306514233350753784e-01,1.013922691345214844e-01,-3.092139363288879395e-01,-7.288618087768554688e-01,1.706312596797943115e-01
1.718040108680725098e-01,-4.809182882308959961e-01,-3.818159103393554688e-01,-2.182042896747589111e-01,-1.510907113552093506e-01,-2.617087364196777344e-01,2.908591926097869873e-01,1.725523322820663452e-01,1.894655376672744751e-01,-3.389362096786499023e-01,2.014102190732955933e-01,-3.823687136173248291e-02,2.139725685119628906e-01,-1.720179021358489990e-01,-4.533822238445281982e-01,-5.735105648636817932e-02
-6.309958696365356445e-01,-1.844004243612289429e-01,-1.016525402665138245e-01,-7.644190192222595215e-01,1.946171671152114868e-01,1.197893824428319931e-02,-8.026827126741409302e-02,3.479917049407958984e-01,-4.746009409427642822e-02,1.553852483630180359e-02,-1.316294670104980469e-01,-2.355977706611156464e-02,-5.645118355751037598e-01,-1.711151450872421265e-01,-2.162370085716247559e-01,3.892438113689422607e-01
